Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
92,Polkastarter,SpiderDAO,SPDR,Ethereum,Blockchain Service,"dao, governance",$ 84.65K,84650,$ 2.64K,2640,0.01x,0.01,1.01,3.86x,3.86,4.86,$ 100.00K,100000,$ 100.00K,100000,12/14/2020,12/14/2020,12/14/2020,0,ACTIVE
93,Polkastarter,OkLetsPlay,OKLP,Polygon,GameFi,"polygon ecosystem, sports, play to earn",$ 177.75K,177750,$ 63.70K,63700,0.21x,0.21,1.21,3.75x,3.75,4.75,$ 1.25M,1250000,$ 1.85M,1850000,4/19/2022,4/19/2022,4/20/2022,1,ACTIVE
94,Polkastarter,Burp,BURP,"Ethereum, Polygon",Blockchain Service,"governance, nft, marketplace, lending/borrowing, yield farming, play to earn, collectibles",$ 122.79K,122790,$ 53.38K,53380,0.05x,0.05,1.05,3.74x,3.74,4.74,$ 250.00K,250000,$ 6.65M,6650000,7/25/2021,7/25/2021,7/25/2021,0,ACTIVE
95,Polkastarter,Meme.com,MEM,"Ethereum, Polygon",DeFi,"nft, governance, staking, marketplace",$ 64.39K,64390,$ 11.73K,11730,0.07x,0.07,1.07,2.71x,2.71,3.71,$ 500.00K,500000,$ 750.00K,750000,6/14/2021,6/14/2021,6/14/2021,0,ACTIVE
96,Polkastarter,Ark Rivals,ARKN,"BNB, KardiaChain",GameFi,"bnb  chain ecosystem, nft, play to earn, staking",$ 191.08K,191080,$829.45 ,829.45,0.05x,0.05,1.05,2.50x,2.50,3.5,$ 300.00K,300000,$ 650.00K,650000,2/21/2022,2/21/2022,2/21/2022,0,ACTIVE
97,Polkastarter,Polinate,POLI,Ethereum,Blockchain Service,"launchpad, polygon ecosystem, crowdfunding",$ 422.08K,422080,$ 7.08K,7080,0.10x,0.10,1.1,2.20x,2.20,3.2,$ 200.00K,200000,$ 200.00K,200000,8/30/2021,8/30/2021,9/27/2021,28,ACTIVE
98,Polkastarter,Safle,SAFLE,"Polygon, BNB, Ethereum",DeFi,"dapp, nft, payments, privacy, polygon ecosystem, governance, dao, staking",$ 655.16K,655160,$ 36.38K,36380,0.11x,0.11,1.11,1.51x,1.51,2.51,$ 550.00K,550000,$ 550.00K,550000,12/15/2021,12/15/2021,2/6/2022,53,ACTIVE
99,Polkastarter,Artmeta,MART,Polygon,NFT,"marketplace, vr/ar, metaverse, nft, polygon ecosystem",$ 461.35K,461350,$ 210.91K,210910,0.44x,0.44,1.44,1.34x,1.34,2.34,$ 500.00K,500000,$ 2.30M,2300000,1/24/2022,1/24/2022,7/13/2022,170,ACTIVE
100,Polkastarter,Deliq Finance,DLQ,Avalanche,DeFi,"staking, yield farming, avalanche ecosystem, cross-chain, dao, governance",$ 18.31K,18310,$13.21 ,13.21,0.04x,0.04,1.04,1.31x,1.31,2.31,$ 400.00K,400000,$ 2.49M,2490000,3/22/2022,3/22/2022,4/5/2022,14,ACTIVE
101,Polkastarter,Wonderman Nation,WNDR,BNB,GameFi,"nft, marketplace, play to earn",$ 588.43K,588430,$ 6.94M,6940000,0.31x,0.31,1.31,1.31x,1.31,2.31,$ 800.00K,800000,$ 5.72M,5720000,4/27/2022,4/27/2022,5/9/2022,12,ACTIVE
