Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add +1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
37,DAO Maker,Crowny,CRWNY,Solana,Blockchain Service,"dapp, nft, staking, solana ecosystem",$ 775.69K,775690,$ 113.43K,113430,0.30x,0.30,1.3,33.52x,33.52,34.52,$ 149.85K,149850,$ 1.35M,1350000,4/13/2021,4/20/2021,4/25/2021,5,ACTIVE
38,DAO Maker,Polygonum Online,POG,BNB,GameFi,"bnb chain ecosystem, nft, marketplace, staking, governance",$ 2.21M,2210000,$ 18.28K,18280,0.92x,0.92,1.92,32.15x,32.15,33.15,$ 120.00K,120000,$ 2.05M,2050000,11/11/2021,11/14/2021,11/29/2021,15,ACTIVE
39,DAO Maker,Xend Finance,XEND,"Ethereum, BNB",DeFi,"staking, governance, polygon ecosystem",$ 2.42M,2420000,$ 575.84K,575840,0.41x,0.41,1.41,30.37x,30.37,31.37,$ 100.00K,100000,$ 2.13M,2130000,2/14/2021,2/19/2021,3/27/2021,36,ACTIVE
40,DAO Maker,Knit Finance,KFT,Ethereum,DeFi,"cross-chain, loan, staking, governance, yield farming, assets",$ 108.37K,108370,$ 30.79K,30790,0.04x,0.04,1.04,30.31x,30.31,31.31,$ 150.00K,150000,$ 1.54M,1540000,5/16/2021,5/23/2021,9/1/2021,101,ACTIVE
41,DAO Maker,LTO Network,LTO,"Ethereum, BNB",Blockchain Infrastructure,bnb chain ecosystem,$ 41.47M,41470000,$ 1.58M,1580000,3.49x,3.49,4.49,30.03x,30.03,31.03,$ 950.00K,950000,$ 950.00K,950000,1/14/2019,1/16/2019,4/6/2021,811,ACTIVE
42,DAO Maker,HAPI,HAPI,Ethereum,Blockchain Service,"governance, staking",$ 7.39M,7390000,$ 416.87K,416870,1.07x,1.07,2.07,29.72x,29.72,30.72,$ 100.00K,100000,$ 3.15M,3150000,3/7/2021,3/14/2021,3/9/2021,-5,ACTIVE
43,DAO Maker,Brokoli,BRKL,"Ethereum, BNB",NFT,"bnb chain ecosystem, cross-chain, nft, metaverse",$ 869.61K,869610,$ 12.77K,12770,0.36x,0.36,1.36,28.61x,28.61,29.61,$ 250.00K,250000,$ 2.20M,2200000,9/27/2021,9/28/2021,11/29/2021,62,ACTIVE
44,DAO Maker,Ternoa,CAPS,Ethereum,Blockchain Infrastructure,"nft, marketplace, polkadot ecosystem, dapp",$ 12.38M,12380000,$ 275.32K,275320,1.98x,1.98,2.98,28.21x,28.21,29.21,$ 150.00K,150000,$ 4.28M,4280000,5/26/2021,5/27/2021,6/6/2021,10,ACTIVE
45,DAO Maker,Three Kingdoms,TTK,BNB,GameFi,"bnb chain ecosystem, play to earn, nft",$ 224.64K,224640,$ 8.92K,8920,0.16x,0.16,1.16,27.49x,27.49,28.49,$ 200.00K,200000,$ 3.22M,3220000,10/10/2021,10/11/2021,10/12/2021,1,ACTIVE
46,DAO Maker,ShopNEXT,NEXT,BNB,Blockchain Service,"bnb chain ecosystem, payments",$ 1.41M,1410000,$ 15.81K,15810,0.43x,0.43,1.43,26.25x,26.25,27.25,$ 135.00K,135000,$ 2.88M,2880000,11/28/2021,11/29/2021,12/2/2021,3,ACTIVE
47,DAO Maker,Yield Protocol,YIELD,Ethereum,DeFi,"yield farming, smart contract platform, yield aggregator, dapp",$ 434.57K,434570,$ 20.11K,20110,0.24x,0.24,1.24,25.91x,25.91,26.91,$ 165.00K,165000,$ 932.00K,932000,2/22/2021,2/23/2021,3/4/2021,9,ACTIVE
48,DAO Maker,OpenOcean,OOE,"Ethereum, Ontology, BNB",DeFi,"governance, tron ecosystem, cross-chain, solana ecosystem, exchange aggregator, bnb chain ecosystem",$ 10.85M,10850000,$ 553.90K,553900,0.93x,0.93,1.93,25.65x,25.65,26.65,$ 100.00K,100000,$ 3.52M,3520000,5/20/2021,5/27/2021,9/1/2021,97,ACTIVE
49,DAO Maker,Kaby Arena,KABY,"Polygon, BNB",GameFi,"play to earn, polygon ecosystem, collectibles, bnb chain ecosystem, nft",$ 230.55K,230550,$ 2.92K,2920,0.34x,0.34,1.34,24.78x,24.78,25.78,$ 100.00K,100000,$ 1.61M,1610000,8/29/2021,8/30/2021,9/3/2021,4,ACTIVE
50,DAO Maker,MakiSwap,MAKI,HECO,DeFi,"amm, staking, yield farming, governance, heco ecosystem",$ 1.04M,1040000,$ 223.68K,223680,0.07x,0.07,1.07,24.59x,24.59,25.59,$ 100.00K,100000,$ 1.69M,1690000,4/29/2021,5/1/2021,6/1/2021,31,ACTIVE
51,DAO Maker,AMAZY,AZY,BNB,GameFi,"bnb chain ecosystem, move to earn (m2e)",$ 12.77M,12770000,$ 14.39M,14390000,8.17x,8.17,9.17,24.00x,24.00,25,$ 250.00K,250000,$ 3.15M,3150000,7/17/2022,7/18/2022,7/21/2022,3,ACTIVE
52,DAO Maker,NFTrade,NFTD,Ethereum,NFT,"dapp, cross-chain, bnb chain ecosystem, yield farming, nft, marketplace, avalanche ecosystem, polygon ecosystem, heco ecosystem, launchpad, staking, collectibles",$ 4.82M,4820000,$ 43.61K,43610,1.41x,1.41,2.41,22.30x,22.30,23.3,$ 500.00K,500000,$ 4.54M,4540000,9/21/2021,9/22/2021,11/23/2021,62,ACTIVE
53,DAO Maker,Cere Network,CERE,Ethereum,Blockchain Infrastructure,"governance, nft, marketplace, polkadot ecosystem, staking",$ 29.65M,29650000,$ 1.00M,1000000,0.34x,0.34,1.34,21.55x,21.55,22.55,$ 1.00M,1000000,$ 37.90M,37900000,4/20/2021,4/27/2021,11/7/2021,194,ACTIVE
54,DAO Maker,Demole,DMLG,BNB,GameFi,"play to earn, nft, marketplace",$ 506.56K,506560,$ 3.60K,3600,0.16x,0.16,1.16,21.18x,21.18,22.18,$ 100.00K,100000,$ 1.69M,1690000,10/15/2021,10/17/2021,11/2/2021,16,ACTIVE
55,DAO Maker,AnRkey X,ANRX,"Ethereum, BNB, Polygon",DeFi,"yield farming, nft, sports, polygon ecosystem",$ 231.60K,231600,$ 317.29K,317290,0.11x,0.11,1.11,18.70x,18.70,19.7,$ 125.00K,125000,$ 1.40M,1400000,12/6/2020,12/12/2020,3/23/2021,101,ACTIVE
56,DAO Maker,Aluna Social,ALN,Ethereum,Social,"social network, ai",$ 249.01K,249010,$ 20.83K,20830,0.07x,0.07,1.07,18.45x,18.45,19.45,$ 300.00K,300000,$ 1.84M,1840000,3/2/2021,3/5/2021,3/16/2021,11,INACTIVE
57,DAO Maker,Orao Network,ORAO,"Ethereum, Polkadot",Blockchain Service,"polkadot ecosystem, staking, cross-chain, tron ecosystem",$ 198.49K,198490,$ 19.83K,19830,0.29x,0.29,1.29,17.09x,17.09,18.09,$ 875.00K,875000,$ 2.09M,2090000,3/21/2021,3/24/2021,5/10/2021,47,ACTIVE
58,DAO Maker,Legends of Crypto,LOCG,Ethereum,GameFi,"nft, staking, governance, yield farming, marketplace, polygon ecosystem",$ 3.74M,3740000,$ 61.93K,61930,0.97x,0.97,1.97,16.38x,16.38,17.38,$ 156.00K,156000,$ 1.50M,1500000,4/27/2021,5/2/2021,5/11/2021,9,ACTIVE
59,DAO Maker,BitLocus,BTL,"Terra Classic, BNB, Ethereum",DeFi,"governance, insurance, payments, staking, yield farming, terra ecosystem, launchpad, dex",$ 401.14K,401140,$ 316.44K,316440,0.13x,0.13,1.13,16.37x,16.37,17.37,$ 150.00K,150000,$ 3.00M,3000000,11/29/2021,11/30/2021,10/2/2021,-59,ACTIVE
60,DAO Maker,beFITTER,FIU,BNB,GameFi,move to earn (m2e),$ 1.45M,1450000,$ 135.10K,135100,1.59x,1.59,2.59,15.81x,15.81,16.81,$ 600.00K,600000,$ 1.19M,1190000,7/11/2022,7/14/2022,7/17/2022,3,ACTIVE
61,DAO Maker,Ispolink,ISP,"Ethereum, BNB",Blockchain Service,"dapp, payments, staking, cross-chain, polygon ecosystem, bnb chain ecosystem",$ 2.94M,2940000,$ 312.07K,312070,0.61x,0.61,1.61,15.62x,15.62,16.62,$ 300.00K,300000,$ 2.11M,2110000,4/29/2021,5/5/2021,5/5/2021,0,ACTIVE
62,DAO Maker,Xana,XETA,Avalanche,Blockchain Infrastructure,"avalanche ecosystem, metaverse",$ 7.17M,7170000,$ 6.55M,6550000,4.86x,4.86,5.86,15.13x,15.13,16.13,$ 895.00K,895000,$ 5.59M,5590000,5/23/2022,7/8/2022,7/19/2022,11,ACTIVE
63,DAO Maker,Formation Fi,FORM,"Ethereum, BNB",DeFi,"yield farming, cross-chain, payments, governance, polygon ecosystem",$ 51.42K,51420,$ 123.10K,123100,0.08x,0.08,1.08,14.75x,14.75,15.75,$ 200.00K,200000,$ 3.60M,3600000,6/6/2021,7/17/2021,6/18/2021,-29,ACTIVE
64,DAO Maker,Chronicle,XNL,Ethereum,NFT,"collectibles, nft",$ 1.90M,1900000,$ 395.20K,395200,0.45x,0.45,1.45,14.70x,14.70,15.7,$ 280.00K,280000,$ 3.22M,3220000,9/5/2021,9/5/2021,9/16/2021,11,ACTIVE
65,DAO Maker,IOI Token,IOI,"Ethereum, Polygon, BNB",GameFi,"nft, marketplace, staking, bnb chain ecosystem, polygon ecosystem, play to earn, collectibles, cosmos ecosystem, metaverse, sports",$ 2.16M,2160000,$ 970.46K,970460,0.53x,0.53,1.53,13.81x,13.81,14.81,$ 200.00K,200000,$ 1.80M,1800000,5/9/2021,5/16/2021,11/23/2021,191,ACTIVE
66,DAO Maker,delta.theta,DLTA,"BNB, Ethereum",DeFi,"yield farming, bnb chain ecosystem, dex, exchange token, derivatives",$ 541.50K,541500,$ 1.86K,1860,0.12x,0.12,1.12,12.91x,12.91,13.91,$ 305.00K,305000,$ 1.95M,1950000,6/1/2021,6/6/2021,7/15/2021,39,ACTIVE
67,DAO Maker,Marnotaur,TAUR,"BNB, Ethereum",DeFi,"yield farming, lending/borrowing",$ 110.31K,110310,$ 27.34K,27340,0.22x,0.22,1.22,12.63x,12.63,13.63,$ 100.00K,100000,$ 1.84M,1840000,8/26/2021,8/27/2021,10/24/2021,58,ACTIVE
68,DAO Maker,YIN Finance,YIN,"Ethereum, BNB",DeFi,"yield farming, nft, dapp, polygon ecosystem, cross-chain, solana ecosystem",$ 819.67K,819670,$ 210.03K,210030,0.30x,0.30,1.3,12.46x,12.46,13.46,$ 240.00K,240000,$ 4.59M,4590000,11/3/2021,11/4/2021,11/14/2021,10,ACTIVE
69,DAO Maker,Crypto Prophecies,TCP,"Ethereum, Polygon",GameFi,"nft, staking, governance",$ 1.08M,1080000,$ 298.97K,298970,0.20x,0.20,1.2,12.39x,12.39,13.39,$ 165.00K,165000,$ 2.44M,2440000,4/25/2021,4/27/2021,4/28/2021,1,ACTIVE
70,DAO Maker,Blockasset,BLOCK,"Solana, BNB",NFT,"nft, collectibles, solana ecosystem, sports, marketplace, governance, staking",$ 3.42M,3420000,$ 43.80K,43800,0.89x,0.89,1.89,11.89x,11.89,12.89,$ 110.00K,110000,$ 3.50M,3500000,12/6/2021,12/7/2021,12/8/2021,1,ACTIVE
71,DAO Maker,Plotx,PLOT,"Ethereum, Polygon",GameFi,"polygon ecosystem, predictions",$ 3.38M,3380000,$ 191.63K,191630,0.69x,0.69,1.69,10.88x,10.88,11.88,$ 250.00K,250000,$ 3.24M,3240000,9/25/2020,9/30/2020,10/12/2020,12,ACTIVE
72,DAO Maker,WAM,WAM,"BNB, Elrond",GameFi,"play to earn, nft",$ 1.63M,1630000,$ 15.86K,15860,0.56x,0.56,1.56,10.75x,10.75,11.75,$ 280.00K,280000,$ 2.67M,2670000,12/14/2021,12/15/2021,12/19/2021,4,ACTIVE
73,DAO Maker,Snook,SNK,Polygon,GameFi,"play to earn, polygon ecosystem, nft",$ 1.77M,1770000,$ 7.87K,7870,0.38x,0.38,1.38,10.41x,10.41,11.41,$ 200.00K,200000,$ 3.22M,3220000,9/2/2021,9/3/2021,9/7/2021,4,ACTIVE
74,DAO Maker,1Sol,1SOL,"Solana, Ethereum",DeFi,"solana ecosystem, dapp, exchange aggregator, cross-chain, exchange token, dex",$ 105.61K,105610,$ 114.92K,114920,0.09x,0.09,1.09,10.16x,10.16,11.16,$ 147.00K,147000,$ 2.35M,2350000,12/7/2021,12/8/2021,12/14/2021,6,ACTIVE
75,DAO Maker,Sienna Network,SIENNA,"Secret Network, Ethereum",DeFi,"amm, governance, cross-chain",$ 3.70M,3700000,$ 539.55K,539550,0.14x,0.14,1.14,10.11x,10.11,11.11,$ 795.00K,795000,$ 11.20M,11200000,4/27/2021,5/4/2021,5/4/2021,0,ACTIVE
76,DAO Maker,Prometheus,MGA,BNB,GameFi,"bnb chain ecosystem, nft, play to earn, marketplace, governance",$ 55.68K,55680,$ 24.20K,24200,0.09x,0.09,1.09,9.93x,9.93,10.93,$ 250.00K,250000,$ 575.00K,575000,11/27/2021,11/28/2021,11/29/2021,1,ACTIVE
